location,count,link
"scott mountains (landform)",2,"https://evanwill.github.io/hearings-text/browse.html#scott%20mountains%20(landform)"
"hells canyon national recreation area (forest)",2,"https://evanwill.github.io/hearings-text/browse.html#hells%20canyon%20national%20recreation%20area%20(forest)"
"west meadow (forest)",2,"https://evanwill.github.io/hearings-text/browse.html#west%20meadow%20(forest)"
"the clear water forest (forest)",2,"https://evanwill.github.io/hearings-text/browse.html#the%20clear%20water%20forest%20(forest)"
"meadow creek (stream)",2,"https://evanwill.github.io/hearings-text/browse.html#meadow%20creek%20(stream)"
"pierce, idaho",2,"https://evanwill.github.io/hearings-text/browse.html#pierce,%20idaho"
"coeur d'alene river (stream)",2,"https://evanwill.github.io/hearings-text/browse.html#coeur%20d'alene%20river%20(stream)"
"valley county (county)",2,"https://evanwill.github.io/hearings-text/browse.html#valley%20county%20(county)"
"kamiah, idaho",2,"https://evanwill.github.io/hearings-text/browse.html#kamiah,%20idaho"
"secesh river (stream)",2,"https://evanwill.github.io/hearings-text/browse.html#secesh%20river%20(stream)"
"targhee pass (landform)",2,"https://evanwill.github.io/hearings-text/browse.html#targhee%20pass%20(landform)"
"smoky mountains (landform)",2,"https://evanwill.github.io/hearings-text/browse.html#smoky%20mountains%20(landform)"
"caribou forest (forest)",2,"https://evanwill.github.io/hearings-text/browse.html#caribou%20forest%20(forest)"
"sneakfoot meadows (forest)",2,"https://evanwill.github.io/hearings-text/browse.html#sneakfoot%20meadows%20(forest)"
"the no return wilderness (wilderness)",2,"https://evanwill.github.io/hearings-text/browse.html#the%20no%20return%20wilderness%20(wilderness)"
"main creek (stream)",2,"https://evanwill.github.io/hearings-text/browse.html#main%20creek%20(stream)"
"caribou county (county)",2,"https://evanwill.github.io/hearings-text/browse.html#caribou%20county%20(county)"
"caldwell, idaho",2,"https://evanwill.github.io/hearings-text/browse.html#caldwell,%20idaho"
"bonners (city)",2,"https://evanwill.github.io/hearings-text/browse.html#bonners%20(city)"
"kaniksu national forest (forest)",2,"https://evanwill.github.io/hearings-text/browse.html#kaniksu%20national%20forest%20(forest)"
"clearwater (stream)",2,"https://evanwill.github.io/hearings-text/browse.html#clearwater%20(stream)"
"black canyon (landform)",2,"https://evanwill.github.io/hearings-text/browse.html#black%20canyon%20(landform)"
"columbia (stream)",2,"https://evanwill.github.io/hearings-text/browse.html#columbia%20(stream)"
"indian creek (stream)",2,"https://evanwill.github.io/hearings-text/browse.html#indian%20creek%20(stream)"
"deadwood mountain  (landform)",2,"https://evanwill.github.io/hearings-text/browse.html#deadwood%20mountain%20%20(landform)"
"kingston (city)",2,"https://evanwill.github.io/hearings-text/browse.html#kingston%20(city)"
"salmon river breaks area (wilderness)",2,"https://evanwill.github.io/hearings-text/browse.html#salmon%20river%20breaks%20area%20(wilderness)"
"moose creek (stream)",2,"https://evanwill.github.io/hearings-text/browse.html#moose%20creek%20(stream)"
"pacific northwest (region)",2,"https://evanwill.github.io/hearings-text/browse.html#pacific%20northwest%20(region)"
"naples (city)",2,"https://evanwill.github.io/hearings-text/browse.html#naples%20(city)"
"hump wilderness area (wilderness)",2,"https://evanwill.github.io/hearings-text/browse.html#hump%20wilderness%20area%20(wilderness)"
"trinity mountain (landform)",2,"https://evanwill.github.io/hearings-text/browse.html#trinity%20mountain%20(landform)"
"warm creek (stream)",2,"https://evanwill.github.io/hearings-text/browse.html#warm%20creek%20(stream)"
"hells canyon (landform)",2,"https://evanwill.github.io/hearings-text/browse.html#hells%20canyon%20(landform)"
"england (country)",2,"https://evanwill.github.io/hearings-text/browse.html#england%20(country)"
"stanley, idaho",2,"https://evanwill.github.io/hearings-text/browse.html#stanley,%20idaho"
"snow peak (landform)",2,"https://evanwill.github.io/hearings-text/browse.html#snow%20peak%20(landform)"
"sawtooth forest (forest)",2,"https://evanwill.github.io/hearings-text/browse.html#sawtooth%20forest%20(forest)"
"pine creek (stream)",2,"https://evanwill.github.io/hearings-text/browse.html#pine%20creek%20(stream)"
"idaho national forest (forest)",2,"https://evanwill.github.io/hearings-text/browse.html#idaho%20national%20forest%20(forest)"
"fairfield (city)",2,"https://evanwill.github.io/hearings-text/browse.html#fairfield%20(city)"
"swan valley (city)",2,"https://evanwill.github.io/hearings-text/browse.html#swan%20valley%20(city)"
"parker canyon (landform)",2,"https://evanwill.github.io/hearings-text/browse.html#parker%20canyon%20(landform)"
"shoshone county (county)",2,"https://evanwill.github.io/hearings-text/browse.html#shoshone%20county%20(county)"
"long canyons (landform)",2,"https://evanwill.github.io/hearings-text/browse.html#long%20canyons%20(landform)"
"goat ridge (landform)",2,"https://evanwill.github.io/hearings-text/browse.html#goat%20ridge%20(landform)"
"palisades reservoir (lake)",2,"https://evanwill.github.io/hearings-text/browse.html#palisades%20reservoir%20(lake)"
"driggs (city)",2,"https://evanwill.github.io/hearings-text/browse.html#driggs%20(city)"
"mackey bar (campground)",2,"https://evanwill.github.io/hearings-text/browse.html#mackey%20bar%20(campground)"
"switzerland (country)",2,"https://evanwill.github.io/hearings-text/browse.html#switzerland%20(country)"
"jackson hole (city)",2,"https://evanwill.github.io/hearings-text/browse.html#jackson%20hole%20(city)"
"st. anthony (city)",2,"https://evanwill.github.io/hearings-text/browse.html#st.%20anthony%20(city)"
"jersey jack (landform)",2,"https://evanwill.github.io/hearings-text/browse.html#jersey%20jack%20(landform)"
"upper hazard lake (lake)",2,"https://evanwill.github.io/hearings-text/browse.html#upper%20hazard%20lake%20(lake)"
"grandjean (campground)",2,"https://evanwill.github.io/hearings-text/browse.html#grandjean%20(campground)"
"mississippi (state)",2,"https://evanwill.github.io/hearings-text/browse.html#mississippi%20(state)"
"lake (lake)",2,"https://evanwill.github.io/hearings-text/browse.html#lake%20(lake)"
"pioneer (landform)",2,"https://evanwill.github.io/hearings-text/browse.html#pioneer%20(landform)"
"heritage cedar grove (forest)",2,"https://evanwill.github.io/hearings-text/browse.html#heritage%20cedar%20grove%20(forest)"
"goldberg (landform)",2,"https://evanwill.github.io/hearings-text/browse.html#goldberg%20(landform)"
"elk mountain  (landform)",2,"https://evanwill.github.io/hearings-text/browse.html#elk%20mountain%20%20(landform)"
"heart lake (lake)",2,"https://evanwill.github.io/hearings-text/browse.html#heart%20lake%20(lake)"
"alpine lakes (lake)",2,"https://evanwill.github.io/hearings-text/browse.html#alpine%20lakes%20(lake)"
"henry lake (lake)",2,"https://evanwill.github.io/hearings-text/browse.html#henry%20lake%20(lake)"
"goat mountain (landform)",2,"https://evanwill.github.io/hearings-text/browse.html#goat%20mountain%20(landform)"
"iowa (state)",2,"https://evanwill.github.io/hearings-text/browse.html#iowa%20(state)"
"ada county (county)",2,"https://evanwill.github.io/hearings-text/browse.html#ada%20county%20(county)"
"east fork (stream)",2,"https://evanwill.github.io/hearings-text/browse.html#east%20fork%20(stream)"
"little boulder creek (stream)",2,"https://evanwill.github.io/hearings-text/browse.html#little%20boulder%20creek%20(stream)"
"cayuse-kelly creek (stream)",2,"https://evanwill.github.io/hearings-text/browse.html#cayuse-kelly%20creek%20(stream)"
"canada (country)",2,"https://evanwill.github.io/hearings-text/browse.html#canada%20(country)"
"yellowstone (forest)",2,"https://evanwill.github.io/hearings-text/browse.html#yellowstone%20(forest)"
"white sand creek (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#white%20sand%20creek%20(stream)"
"fort hall indian reservation (indian reservation)",1,"https://evanwill.github.io/hearings-text/browse.html#fort%20hall%20indian%20reservation%20(indian%20reservation)"
"council, cutty mountain (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#council,%20cutty%20mountain%20(landform)"
"robinson creek (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#robinson%20creek%20(stream)"
"bald mountain (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#bald%20mountain%20(landform)"
"weiser river (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#weiser%20river%20(stream)"
"big elk mountain (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#big%20elk%20mountain%20(landform)"
"the weiser river (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#the%20weiser%20river%20(stream)"
"mountain home air force base (city)",1,"https://evanwill.github.io/hearings-text/browse.html#mountain%20home%20air%20force%20base%20(city)"
"corral horse basin (wilderness)",1,"https://evanwill.github.io/hearings-text/browse.html#corral%20horse%20basin%20(wilderness)"
"grand tetons (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#grand%20tetons%20(landform)"
"caribou city (city)",1,"https://evanwill.github.io/hearings-text/browse.html#caribou%20city%20(city)"
"rexburg (city)",1,"https://evanwill.github.io/hearings-text/browse.html#rexburg%20(city)"
"jerry peak west (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#jerry%20peak%20west%20(landform)"
"black butte (wilderness)",1,"https://evanwill.github.io/hearings-text/browse.html#black%20butte%20(wilderness)"
"poker creek (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#poker%20creek%20(stream)"
"craters of the moon national monument (forest)",1,"https://evanwill.github.io/hearings-text/browse.html#craters%20of%20the%20moon%20national%20monument%20(forest)"
"poker peak (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#poker%20peak%20(landform)"
"salmon falls creek (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#salmon%20falls%20creek%20(stream)"
"boulder lake (lake)",1,"https://evanwill.github.io/hearings-text/browse.html#boulder%20lake%20(lake)"
"yellowstone national park to state highway 33 (forest)",1,"https://evanwill.github.io/hearings-text/browse.html#yellowstone%20national%20park%20to%20state%20highway%2033%20(forest)"
"sawtooth mountain wilderness (wilderness)",1,"https://evanwill.github.io/hearings-text/browse.html#sawtooth%20mountain%20wilderness%20(wilderness)"
"mount jefferson (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#mount%20jefferson%20(landform)"
"great burn kelly creek (wilderness)",1,"https://evanwill.github.io/hearings-text/browse.html#great%20burn%20kelly%20creek%20(wilderness)"
"missouri (state)",1,"https://evanwill.github.io/hearings-text/browse.html#missouri%20(state)"
"jedidiah smith wilderness (wilderness)",1,"https://evanwill.github.io/hearings-text/browse.html#jedidiah%20smith%20wilderness%20(wilderness)"
"st. louis (city)",1,"https://evanwill.github.io/hearings-text/browse.html#st.%20louis%20(city)"
"the challis national forest: pioneer mountain (forest)",1,"https://evanwill.github.io/hearings-text/browse.html#the%20challis%20national%20forest:%20pioneer%20mountain%20(forest)"
"milltown (city)",1,"https://evanwill.github.io/hearings-text/browse.html#milltown%20(city)"
"the lime creek (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#the%20lime%20creek%20(stream)"
"soldier mountains (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#soldier%20mountains%20(landform)"
"rainy creek (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#rainy%20creek%20(stream)"
"south boise (city)",1,"https://evanwill.github.io/hearings-text/browse.html#south%20boise%20(city)"
"blue ridge mountains (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#blue%20ridge%20mountains%20(landform)"
"north fork of the boise river (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#north%20fork%20of%20the%20boise%20river%20(stream)"
"blueridge parkway (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#blueridge%20parkway%20(landform)"
"minnesota (state)",1,"https://evanwill.github.io/hearings-text/browse.html#minnesota%20(state)"
"granite peaks (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#granite%20peaks%20(landform)"
"the pioneer mountains (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#the%20pioneer%20mountains%20(landform)"
"wood river (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#wood%20river%20(stream)"
"boulder-white clouds (wilderness)",1,"https://evanwill.github.io/hearings-text/browse.html#boulder-white%20clouds%20(wilderness)"
"arrowrock reservoir (dam/reservoir)",1,"https://evanwill.github.io/hearings-text/browse.html#arrowrock%20reservoir%20(dam/reservoir)"
"black dome (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#black%20dome%20(landform)"
"lost river sinks (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#lost%20river%20sinks%20(stream)"
"yosemite (forest)",1,"https://evanwill.github.io/hearings-text/browse.html#yosemite%20(forest)"
"western overthrust belt (wilderness)",1,"https://evanwill.github.io/hearings-text/browse.html#western%20overthrust%20belt%20(wilderness)"
"canyon county (county)",1,"https://evanwill.github.io/hearings-text/browse.html#canyon%20county%20(county)"
"portneuf valley (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#portneuf%20valley%20(landform)"
"russia (country)",1,"https://evanwill.github.io/hearings-text/browse.html#russia%20(country)"
"island park (city)",1,"https://evanwill.github.io/hearings-text/browse.html#island%20park%20(city)"
"centennial mountains (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#centennial%20mountains%20(landform)"
"greater yellowstone (forest)",1,"https://evanwill.github.io/hearings-text/browse.html#greater%20yellowstone%20(forest)"
"mexico (country)",1,"https://evanwill.github.io/hearings-text/browse.html#mexico%20(country)"
"big creek (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#big%20creek%20(stream)"
"gospel hump and council mountain (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#gospel%20hump%20and%20council%20mountain%20(landform)"
"smokey canyon (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#smokey%20canyon%20(landform)"
"smoky mountains (wilderness)",1,"https://evanwill.github.io/hearings-text/browse.html#smoky%20mountains%20(wilderness)"
"italian peaks (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#italian%20peaks%20(landform)"
"lick creek north (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#lick%20creek%20north%20(stream)"
"loon mountains (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#loon%20mountains%20(landform)"
"granite lake reservoir (lake)",1,"https://evanwill.github.io/hearings-text/browse.html#granite%20lake%20reservoir%20(lake)"
"pinnacle peak (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#pinnacle%20peak%20(landform)"
"upper snake river valley (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#upper%20snake%20river%20valley%20(landform)"
"elk meadows (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#elk%20meadows%20(landform)"
"great yellowstone ecosystem (forest)",1,"https://evanwill.github.io/hearings-text/browse.html#great%20yellowstone%20ecosystem%20(forest)"
"dubois (city)",1,"https://evanwill.github.io/hearings-text/browse.html#dubois%20(city)"
"the borah peaks (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#the%20borah%20peaks%20(landform)"
"coffee cup lake (lake)",1,"https://evanwill.github.io/hearings-text/browse.html#coffee%20cup%20lake%20(lake)"
"carbon county (county)",1,"https://evanwill.github.io/hearings-text/browse.html#carbon%20county%20(county)"
"clear creek field (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#clear%20creek%20field%20(landform)"
"grays lake (lake)",1,"https://evanwill.github.io/hearings-text/browse.html#grays%20lake%20(lake)"
"aransas pass (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#aransas%20pass%20(stream)"
"rainbow lakes (lake)",1,"https://evanwill.github.io/hearings-text/browse.html#rainbow%20lakes%20(lake)"
"persian gulf (region)",1,"https://evanwill.github.io/hearings-text/browse.html#persian%20gulf%20(region)"
"sawtooth mountains (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#sawtooth%20mountains%20(landform)"
"lionshead (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#lionshead%20(landform)"
"nebraska (state)",1,"https://evanwill.github.io/hearings-text/browse.html#nebraska%20(state)"
"gams mountain (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#gams%20mountain%20(landform)"
"seattle (city)",1,"https://evanwill.github.io/hearings-text/browse.html#seattle%20(city)"
"granite mountain (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#granite%20mountain%20(landform)"
"germania creek (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#germania%20creek%20(stream)"
"twin lakes (lake)",1,"https://evanwill.github.io/hearings-text/browse.html#twin%20lakes%20(lake)"
"fisher creek (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#fisher%20creek%20(stream)"
"corn creek (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#corn%20creek%20(stream)"
"lemhi valley (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#lemhi%20valley%20(landform)"
"burley (city)",1,"https://evanwill.github.io/hearings-text/browse.html#burley%20(city)"
"payette lake (lake)",1,"https://evanwill.github.io/hearings-text/browse.html#payette%20lake%20(lake)"
"lemhi river (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#lemhi%20river%20(stream)"
"north lemhi range (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#north%20lemhi%20range%20(landform)"
"owyhee county (county)",1,"https://evanwill.github.io/hearings-text/browse.html#owyhee%20county%20(county)"
"upper lemhi river (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#upper%20lemhi%20river%20(stream)"
"west yellowstone (forest)",1,"https://evanwill.github.io/hearings-text/browse.html#west%20yellowstone%20(forest)"
"dickey peak (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#dickey%20peak%20(landform)"
"pass creek summit (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#pass%20creek%20summit%20(landform)"
"deadwood, boise river (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#deadwood,%20boise%20river%20(stream)"
"kelley creek-cayouse river (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#kelley%20creek-cayouse%20river%20(stream)"
"kelly creek watershed (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#kelly%20creek%20watershed%20(stream)"
"lower kelly creek (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#lower%20kelly%20creek%20(stream)"
"hells half acre (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#hells%20half%20acre%20(landform)"
"salt lake valley (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#salt%20lake%20valley%20(landform)"
"the yellowstone park (wilderness)",1,"https://evanwill.github.io/hearings-text/browse.html#the%20yellowstone%20park%20(wilderness)"
"creekneedles (campground)",1,"https://evanwill.github.io/hearings-text/browse.html#creekneedles%20(campground)"
"mount whitney (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#mount%20whitney%20(landform)"
"hamer (city)",1,"https://evanwill.github.io/hearings-text/browse.html#hamer%20(city)"
"timber river (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#timber%20river%20(stream)"
"soda springs (city)",1,"https://evanwill.github.io/hearings-text/browse.html#soda%20springs%20(city)"
"ashton (city)",1,"https://evanwill.github.io/hearings-text/browse.html#ashton%20(city)"
"salmon river wilderness (wilderness)",1,"https://evanwill.github.io/hearings-text/browse.html#salmon%20river%20wilderness%20(wilderness)"
"rhode island (state)",1,"https://evanwill.github.io/hearings-text/browse.html#rhode%20island%20(state)"
"brush creek flat (campground)",1,"https://evanwill.github.io/hearings-text/browse.html#brush%20creek%20flat%20(campground)"
"the lemhi county (county)",1,"https://evanwill.github.io/hearings-text/browse.html#the%20lemhi%20county%20(county)"
"great burns/cayuse (wilderness)",1,"https://evanwill.github.io/hearings-text/browse.html#great%20burns/cayuse%20(wilderness)"
"park creek (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#park%20creek%20(stream)"
"boise- yuba river (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#boise-%20yuba%20river%20(stream)"
"falkenberry lake (lake)",1,"https://evanwill.github.io/hearings-text/browse.html#falkenberry%20lake%20(lake)"
"leaterman peaks (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#leaterman%20peaks%20(landform)"
"worm creeks (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#worm%20creeks%20(stream)"
"the lick creek (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#the%20lick%20creek%20(stream)"
"mecca (city)",1,"https://evanwill.github.io/hearings-text/browse.html#mecca%20(city)"
"loon creek (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#loon%20creek%20(stream)"
"kentucky (state)",1,"https://evanwill.github.io/hearings-text/browse.html#kentucky%20(state)"
"castle peak (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#castle%20peak%20(landform)"
"quebec (city)",1,"https://evanwill.github.io/hearings-text/browse.html#quebec%20(city)"
"the west fork of (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#the%20west%20fork%20of%20(stream)"
"snake river range (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#snake%20river%20range%20(landform)"
"nevada (state)",1,"https://evanwill.github.io/hearings-text/browse.html#nevada%20(state)"
"unguava bay (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#unguava%20bay%20(stream)"
"patterson creek (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#patterson%20creek%20(stream)"
"lemhi mountain range (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#lemhi%20mountain%20range%20(landform)"
"east fork pasture creek (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#east%20fork%20pasture%20creek%20(stream)"
"phoenix (city)",1,"https://evanwill.github.io/hearings-text/browse.html#phoenix%20(city)"
"tennessee (state)",1,"https://evanwill.github.io/hearings-text/browse.html#tennessee%20(state)"
"the superstition wilderness area (wilderness)",1,"https://evanwill.github.io/hearings-text/browse.html#the%20superstition%20wilderness%20area%20(wilderness)"
"barns mountain (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#barns%20mountain%20(landform)"
"the great george river (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#the%20great%20george%20river%20(stream)"
"portland (city)",1,"https://evanwill.github.io/hearings-text/browse.html#portland%20(city)"
"kelley brook (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#kelley%20brook%20(stream)"
"the boise forest (forest)",1,"https://evanwill.github.io/hearings-text/browse.html#the%20boise%20forest%20(forest)"
"salt lake (city)",1,"https://evanwill.github.io/hearings-text/browse.html#salt%20lake%20(city)"
"garn mountain (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#garn%20mountain%20(landform)"
"pahsimeroi (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#pahsimeroi%20(stream)"
"japan (country)",1,"https://evanwill.github.io/hearings-text/browse.html#japan%20(country)"
"stroud creek (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#stroud%20creek%20(stream)"
"everson creek (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#everson%20creek%20(stream)"
"porcupine creek (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#porcupine%20creek%20(stream)"
"leadore community (city)",1,"https://evanwill.github.io/hearings-text/browse.html#leadore%20community%20(city)"
"deadwood river (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#deadwood%20river%20(stream)"
"the bear creek (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#the%20bear%20creek%20(stream)"
"burns canyon (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#burns%20canyon%20(landform)"
"beaverhead mountains (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#beaverhead%20mountains%20(landform)"
"palisades district (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#palisades%20district%20(landform)"
"steel mountain, red mountains (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#steel%20mountain,%20red%20mountains%20(landform)"
"black canyon area (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#black%20canyon%20area%20(landform)"
"conda valley (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#conda%20valley%20(landform)"
"silver creek plunge (campground)",1,"https://evanwill.github.io/hearings-text/browse.html#silver%20creek%20plunge%20(campground)"
"the challis forest (forest)",1,"https://evanwill.github.io/hearings-text/browse.html#the%20challis%20forest%20(forest)"
"the garns mountain roadless areas (wilderness)",1,"https://evanwill.github.io/hearings-text/browse.html#the%20garns%20mountain%20roadless%20areas%20(wilderness)"
"diamond peak area (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#diamond%20peak%20area%20(landform)"
"jump off (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#jump%20off%20(landform)"
"shaw mountain (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#shaw%20mountain%20(landform)"
"himalayas (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#himalayas%20(landform)"
"tigris and euphrates rivers (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#tigris%20and%20euphrates%20rivers%20(stream)"
"persia (region)",1,"https://evanwill.github.io/hearings-text/browse.html#persia%20(region)"
"babylon (city)",1,"https://evanwill.github.io/hearings-text/browse.html#babylon%20(city)"
"iran (country)",1,"https://evanwill.github.io/hearings-text/browse.html#iran%20(country)"
"iraq (country)",1,"https://evanwill.github.io/hearings-text/browse.html#iraq%20(country)"
"amazon (forest)",1,"https://evanwill.github.io/hearings-text/browse.html#amazon%20(forest)"
"clark county (county)",1,"https://evanwill.github.io/hearings-text/browse.html#clark%20county%20(county)"
"southern lemhis (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#southern%20lemhis%20(landform)"
"tyler peak (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#tyler%20peak%20(landform)"
"lemhi mountains (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#lemhi%20mountains%20(landform)"
"saddle mountains  (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#saddle%20mountains%20%20(landform)"
"tetonia (city)",1,"https://evanwill.github.io/hearings-text/browse.html#tetonia%20(city)"
"leadore (city)",1,"https://evanwill.github.io/hearings-text/browse.html#leadore%20(city)"
"leadore district (city)",1,"https://evanwill.github.io/hearings-text/browse.html#leadore%20district%20(city)"
"swan basin (lake)",1,"https://evanwill.github.io/hearings-text/browse.html#swan%20basin%20(lake)"
"hayden (city)",1,"https://evanwill.github.io/hearings-text/browse.html#hayden%20(city)"
"leadore county (county)",1,"https://evanwill.github.io/hearings-text/browse.html#leadore%20county%20(county)"
"big eight mile (forest)",1,"https://evanwill.github.io/hearings-text/browse.html#big%20eight%20mile%20(forest)"
"dog creek (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#dog%20creek%20(stream)"
"rauiey creek (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#rauiey%20creek%20(stream)"
"elk creek (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#elk%20creek%20(stream)"
"smokey hollow (campground)",1,"https://evanwill.github.io/hearings-text/browse.html#smokey%20hollow%20(campground)"
"terreton (city)",1,"https://evanwill.github.io/hearings-text/browse.html#terreton%20(city)"
"game creek (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#game%20creek%20(stream)"
"thousand springs (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#thousand%20springs%20(stream)"
"burbank (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#burbank%20(stream)"
"green mountain (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#green%20mountain%20(landform)"
"mosquito creek (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#mosquito%20creek%20(stream)"
"siddoway fork (stream)",1,"https://evanwill.github.io/hearings-text/browse.html#siddoway%20fork%20(stream)"
"bell mountains (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#bell%20mountains%20(landform)"
"black canyon trail (trail)",1,"https://evanwill.github.io/hearings-text/browse.html#black%20canyon%20trail%20(trail)"
"swiss alps (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#swiss%20alps%20(landform)"
"wood river valley (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#wood%20river%20valley%20(landform)"
"alabama (state)",1,"https://evanwill.github.io/hearings-text/browse.html#alabama%20(state)"
"hawaii (state)",1,"https://evanwill.github.io/hearings-text/browse.html#hawaii%20(state)"
"smoky mountain wilderness (wilderness)",1,"https://evanwill.github.io/hearings-text/browse.html#smoky%20mountain%20wilderness%20(wilderness)"
"trapper peak (landform)",1,"https://evanwill.github.io/hearings-text/browse.html#trapper%20peak%20(landform)"
